,year,price
13752,0.912621359223301,7.285950066302146e-05
13537,0.912621359223301,0.00015228000138574801
8165,0.9223300970873787,6.399000058230901e-05
13499,0.8640776699029126,5.832000053071201e-05
10951,0.8640776699029126,2.5920000235872004e-05
15002,0.9029126213592233,6.475950058931145e-05
1040,0.9514563106796117,0.00014571900132604292
1790,0.9223300970873787,0.0001457838013266326
7233,0.8446601941747572,5.022000045700201e-05
17262,0.8252427184466019,0.00013770000125307
18362,0.9223300970873787,5.665950051560145e-05
256,0.8446601941747572,4.2120000383292e-05
15497,0.970873786407767,0.00028220400256805643
8669,0.8349514563106796,3.6450000331695004e-05
8201,0.9029126213592233,7.285950066302146e-05
14649,0.883495145631068,8.09190007363629e-05
14546,0.8349514563106796,3.8880000353808e-05
3466,0.9223300970873787,0.00012145950110528146
3903,0.9611650485436893,0.0002296350020896785
15698,0.8737864077669902,3.0780000280098e-05
9777,0.8543689320388349,9.720000088452001e-05
8256,0.8446601941747572,4.4550000405405004e-05
9964,0.9029126213592233,4.860000044226001e-05
17889,0.7475728155339806,4.860000044226001e-05
9107,0.5436893203883495,8.10000007371e-05
13583,0.7766990291262136,3.240000029484e-05
19927,0.970873786407767,9.715950088415145e-05
1169,0.9223300970873787,0.00011178000101719801
12194,0.9029126213592233,2.2680000206388e-05
14708,0.8640776699029126,0.00015385950140012146
2138,0.8932038834951457,4.048380036840258e-05
9550,0.7087378640776699,1.2150000110565002e-05
15916,0.9514563106796117,0.00021485250195515777
2733,0.8349514563106796,3.238380029469258e-05
13019,0.9223300970873787,0.0001295190011786229
6955,0.9805825242718447,0.00029970000272727004
6406,0.9029126213592233,5.832000053071201e-05
1748,0.9320388349514563,0.0001538838014003426
13184,0.8349514563106796,4.0095000364864505e-05
557,0.883495145631068,6.399000058230901e-05
1280,0.9514563106796117,0.00019435950176867147
1360,0.9611650485436893,0.0002186838019900226
16357,0.9611650485436893,0.00012384900112702592
3654,0.9223300970873787,7.65450006965595e-05
7090,0.9029126213592233,6.480000058968e-05
3215,0.9902912621359223,0.0
3272,0.9902912621359223,0.0002672838024322826
13145,0.8446601941747572,6.0750000552825004e-05
14480,0.883495145631068,4.859190044218629e-05
7831,0.9320388349514563,4.855950044189145e-05
3490,0.8737864077669902,5.665950051560145e-05
15732,0.8737864077669902,4.0419000367812904e-05
9666,0.9611650485436893,0.00012150000110565001
19766,0.883495145631068,0.00010935000099508501
1605,0.9805825242718447,0.0004454595040536815
2425,0.9611650485436893,0.00012958380117921258
13563,0.9223300970873787,0.00013689000124569902
17232,0.8058252427184466,4.2120000383292e-05
13392,0.9223300970873787,0.0002952450026867295
7000,0.9223300970873787,3.6247500329852256e-05
2767,0.8640776699029126,0.00010528380095808259
14388,0.941747572815534,5.256900047837791e-05
1789,0.9611650485436893,0.0001133838010317926
13502,0.8349514563106796,4.2930000390663004e-05
10466,0.9805825242718447,0.00023206500211179153
14552,0.8737864077669902,0.00010525950095786146
10373,0.9514563106796117,0.0003239838029482526
19716,0.7572815533980582,2.0250000184275e-05
2255,0.7669902912621359,7.695000070024501e-05
10401,0.8349514563106796,0.00013680900124496192
8063,0.9223300970873787,0.0
10450,0.9805825242718447,0.00018890820171906463
2460,0.9902912621359223,0.00012148380110550259
4636,0.9320388349514563,0.00016159500147051452
15245,0.9223300970873787,8.095950073673145e-05
1739,0.9902912621359223,0.0002024838018426026
11053,0.8543689320388349,2.4300000221130004e-05
2983,0.9805825242718447,0.0001587438014445686
3720,0.8446601941747572,1.2150000110565002e-05
7825,0.9514563106796117,6.475950058931145e-05
11617,0.8543689320388349,0.000185490001687959
4687,0.8349514563106796,0.000136080001238328
3283,0.9611650485436893,0.0001133838010317926
15180,0.9223300970873787,0.000161190001466829
2259,0.9029126213592233,4.698000042751801e-05
10361,0.8932038834951457,6.68250006081075e-05
3626,0.9029126213592233,6.47190005889429e-05
9481,0.9805825242718447,0.000311850002837835
13680,0.8640776699029126,0.0
13901,0.7669902912621359,1.4985000136363502e-05
1765,0.9611650485436893,0.0001781838016214726
5376,0.7766990291262136,3.8070000346437004e-05
3238,0.8543689320388349,5.2609500478746456e-05
11023,0.8349514563106796,5.665950051560145e-05
15347,0.8252427184466019,4.4550000405405004e-05
907,0.912621359223301,8.905950081044146e-05
13532,0.8640776699029126,3.44250003132675e-05
7508,0.941747572815534,0.0001214919011055763
17208,0.9223300970873787,0.000206550001879605
685,0.9320388349514563,3.6450000331695004e-05
3019,0.8932038834951457,0.00012148380110550259
8449,0.8737864077669902,2.3490000213759004e-05
3634,0.883495145631068,8.10000007371e-06
1209,0.970873786407767,0.00027535950250577145
14914,0.9320388349514563,4.8519000441522904e-05
3260,0.9611650485436893,0.00024295950221093148
700,0.9223300970873787,7.69419007001713e-05
8356,0.941747572815534,0.00014543550132346307
16021,0.912621359223301,0.00016187850147309437
14401,0.6019417475728155,0.000999993609099942
3237,0.883495145631068,9.310950084729646e-05
4677,0.8640776699029126,3.721950033869745e-05
12372,0.8155339805825242,2.2680000206388e-05
11701,0.8640776699029126,2.8147500256142253e-05
4684,0.883495145631068,7.285950066302146e-05
9808,0.9029126213592233,5.2650000479115004e-05
15349,0.8737864077669902,4.859190044218629e-05
12515,0.970873786407767,0.00012550950114213646
1410,0.9805825242718447,0.0003239595029480315
16275,0.8349514563106796,2.9889000271989904e-05
9268,0.8737864077669902,2.4259500220761452e-05
13034,0.883495145631068,0.00012141900110491291
15759,0.8640776699029126,3.239190029476629e-05
6200,0.9514563106796117,6.856650062395515e-05
6141,0.8446601941747572,4.6129500419778456e-05
3341,0.9611650485436893,0.0001943838017688926
14691,0.8640776699029126,6.88419006264613e-05
4638,0.883495145631068,0.00011259000102456901
10740,0.9029126213592233,4.7790000434889004e-05
4020,0.912621359223301,0.0
2742,0.941747572815534,8.098380073695258e-05
9271,0.8640776699029126,2.4259500220761452e-05
3317,0.9611650485436893,0.0001943838017688926
4117,0.9223300970873787,5.256900047837791e-05
15665,0.8932038834951457,5.665950051560145e-05
2739,0.941747572815534,8.908380081066259e-05
8755,0.8737864077669902,2.8350000257985004e-05
7431,0.8543689320388349,3.4020000309582e-05
2604,0.9320388349514563,6.475950058931145e-05
14062,0.9320388349514563,0.00014571900132604292
12089,0.7669902912621359,1.4580000132678002e-05
4841,0.941747572815534,0.0002263869020601208
9841,0.8640776699029126,3.6450000331695004e-05
7839,0.8543689320388349,1.7820000162162e-05
9911,0.9029126213592233,3.235950029447145e-05
11288,0.9320388349514563,0.00011335950103157145
5946,0.9514563106796117,4.860000044226001e-05
11749,0.8446601941747572,4.698000042751801e-05
11841,0.6699029126213593,2.186190019894329e-05
10429,0.9223300970873787,3.235950029447145e-05
7511,0.9320388349514563,0.0001862919016952563
2793,0.8737864077669902,0.00013606380123818058
5494,0.883495145631068,2.024190018420129e-05
8665,0.912621359223301,4.7790000434889004e-05
2099,0.9029126213592233,5.6578500514864356e-05
6664,0.912621359223301,6.394950058194045e-05
10130,0.8640776699029126,7.290000066339001e-05
17671,0.883495145631068,7.695000070024501e-05
5047,0.8446601941747572,1.620000014742e-05
6575,0.8737864077669902,4.6170000420147004e-05
5119,0.8932038834951457,3.235950029447145e-05
10725,0.9223300970873787,4.7790000434889004e-05
15263,0.9029126213592233,3.63690003309579e-05
12595,0.912621359223301,4.855950044189145e-05
15211,0.8737864077669902,3.0780000280098e-05
15794,0.9514563106796117,7.281900066265291e-05
7193,0.9611650485436893,0.000193590001761669
16392,0.883495145631068,0.00013324500121252952
1354,0.970873786407767,0.00027535950250577145
13285,0.8446601941747572,4.6129500419778456e-05
14373,0.9223300970873787,6.399000058230901e-05
2796,0.9223300970873787,6.478380058953258e-05
2526,0.9029126213592233,0.0001295919011792863
7488,0.9223300970873787,0.0001457919013267063
14479,0.8932038834951457,4.859190044218629e-05
7530,0.912621359223301,0.0001295919011792863
15682,0.9029126213592233,5.665950051560145e-05
11488,0.8640776699029126,4.045950036818145e-05
2452,0.9514563106796117,0.0001376838012529226
9559,0.9029126213592233,0.000104490000950859
7341,0.8252427184466019,2.2680000206388e-05
13974,0.8737864077669902,2.3490000213759004e-05
3893,0.8737864077669902,6.47190005889429e-05
12855,0.8737864077669902,2.1060000191646e-05
1490,0.9320388349514563,0.000124740001135134
11957,0.8252427184466019,3.1590000287469004e-05
16228,0.912621359223301,5.6619000515232904e-05
2143,0.8543689320388349,0.0001457838013266326
15567,0.912621359223301,4.4550000405405004e-05
12769,0.8543689320388349,1.7820000162162e-05
15631,0.9029126213592233,8.8290000803439e-05
14493,0.8349514563106796,2.5920000235872004e-05
11286,0.8446601941747572,4.855950044189145e-05
1015,0.8640776699029126,0.0001619190014734629
15220,0.8932038834951457,3.240000029484e-05
18143,0.9611650485436893,0.00012868470117103077
12477,0.9320388349514563,0.00011335950103157145
4694,0.8349514563106796,0.000136080001238328
2170,0.912621359223301,4.858380044211258e-05
16238,0.6699029126213593,7.897500071867251e-05
208,0.8737864077669902,7.290000066339001e-05
16432,0.8932038834951457,0.00010525950095786146
9236,0.9029126213592233,0.0001162350010577385
3704,0.970873786407767,0.000117450001068795
1007,0.8349514563106796,3.9690000361179004e-05
14703,0.9223300970873787,7.285950066302146e-05
