,state,long
665,1.0,0.6726738331108459
667,1.0,0.6679079135342749
681,1.0,0.7924073163305945
685,1.0,0.7611536569943094
686,1.0,0.7611536569943094
689,1.0,0.7611536569943094
693,1.0,0.7611536569943094
695,1.0,0.7155905290522031
699,1.0,0.7637766692428404
700,1.0,0.7024988875617698
704,1.0,0.8024895196608818
709,1.0,0.7586945830113121
710,1.0,0.686432937539522
711,1.0,0.6817606969718267
716,1.0,0.7525351881777096
717,1.0,0.6767254502447364
733,1.0,0.6829551043349966
736,1.0,0.6829551043349966
774,1.0,0.5517693622801475
792,1.0,0.5517693622801475
793,1.0,0.7425115342279685
794,1.0,0.6571933768940731
800,1.0,0.8167287290100486
807,1.0,0.6906133633106163
808,1.0,0.7924073163305945
810,1.0,0.6912456966205308
814,1.0,0.6706714442961197
815,1.0,0.6611513150190876
819,1.0,0.5517693622801475
854,1.0,0.8600435607391274
855,1.0,0.8600435607391274
857,1.0,0.8600435607391274
864,1.0,0.5517693622801475
872,1.0,0.7594205953301025
874,1.0,0.6924752336120287
875,1.0,0.9285697557319844
877,1.0,0.5953652310358556
878,1.0,0.5953652310358556
879,1.0,0.5953652310358556
881,1.0,0.5953652310358556
882,1.0,0.5953652310358556
883,1.0,0.7586945830113121
884,1.0,0.6912456966205308
888,1.0,0.7954401742429569
890,1.0,0.701936813508513
891,1.0,0.8028408159441671
892,1.0,0.7610599779854336
893,1.0,0.8600435607391274
898,1.0,0.7586945830113121
902,1.0,0.8028408159441671
905,1.0,0.8013302419260416
906,1.0,0.5517693622801475
907,1.0,0.6924049743553726
917,1.0,0.9006885407152406
921,1.0,0.8013302419260416
922,1.0,0.6761048268109333
923,1.0,0.6761048268109333
924,1.0,0.6761048268109333
926,1.0,0.6761048268109333
929,1.0,0.6808239068830665
932,1.0,0.6398744701281058
936,1.0,0.8834398932059311
960,1.0,0.6912456966205308
965,1.0,0.6915267336471584
968,1.0,0.8600435607391274
974,1.0,0.8600435607391274
975,1.0,0.8600435607391274
976,1.0,0.8600435607391274
999,1.0,0.8600435607391274
1000,1.0,0.6924635237359188
1002,1.0,0.6912456966205308
1004,1.0,0.5517693622801475
1006,1.0,0.5517693622801475
1007,1.0,0.6903791657884266
1008,1.0,0.5517693622801475
1010,1.0,0.5517693622801475
1013,1.0,0.5517693622801475
1014,1.0,0.5517693622801475
1015,1.0,0.5517693622801475
1017,1.0,0.5517693622801475
1019,1.0,0.5517693622801475
1020,1.0,0.5517693622801475
1021,1.0,0.5517693622801475
1022,1.0,0.5517693622801475
1027,1.0,0.5517693622801475
1028,1.0,0.5517693622801475
1030,1.0,0.5517693622801475
1031,1.0,0.5517693622801475
1032,1.0,0.5517693622801475
1033,1.0,0.5517693622801475
1034,1.0,0.5517693622801475
1035,1.0,0.5517693622801475
1037,1.0,0.5517693622801475
1038,1.0,0.5517693622801475
1040,1.0,0.5517693622801475
1041,1.0,0.5517693622801475
1047,1.0,0.5517693622801475
